Nr_Proby;Algorytm;Struktura;Typ_Danych;Rozmiar;Pivot;Shell_Option;Distribution;Czas_ms
38;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;13.4936
39;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;16.5628
40;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;11.6994
41;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;14.1131
42;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;11.0838
43;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;13.1905
44;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;11.8108
45;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;9.8102
46;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;12.7077
47;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;8.2254
48;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;8.1159
